Policy snapshot for mountaincar
Format: state -> best action | action probabilities
state=(-0.3692307839026818, -0.01974358982764758): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.3692307839026818, -0.016153846222620748): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.3692307839026818, -0.012564102617593914): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.3692307839026818, -0.00897435901256708): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.3692307839026818, -0.005384615407540247): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.3692307839026818, -0.0017948718025134203): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.3692307839026818, 0.0017948718025134203): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.3692307839026818, 0.005384615407540247): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.3692307839026818, 0.008974359012567074): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.3692307839026818, 0.012564102617593914): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.3692307839026818, 0.01615384622262074): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.3692307839026818, 0.019743589827647567): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.3692307839026818, 0.023333333432674408): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.3692307839026818, 0.026923077037701235): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.3692307839026818, 0.03051282064272806): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.3692307839026818, 0.0341025642477549): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.3692307839026818, 0.03769230785278173): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.3692307839026818, 0.04128205145780857): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.3692307839026818, 0.044871795062835396): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.3692307839026818, 0.04846153866786222): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.3692307839026818, 0.05205128227288906): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.3692307839026818, 0.05564102587791589): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.3692307839026818, 0.05923076948294273): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.3692307839026818, 0.06282051308796954): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.3692307839026818, 0.06641025669299638): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.3692307839026818, 0.07000000029802322): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.32307693591484665, -0.07000000029802322): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.32307693591484665, -0.0664102566929964): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.32307693591484665, -0.06282051308796956): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.32307693591484665, -0.05923076948294273): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.32307693591484665, -0.055641025877915896): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.32307693591484665, -0.05205128227288906): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.32307693591484665, -0.048461538667862236): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.32307693591484665, -0.0448717950628354): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.32307693591484665, -0.04128205145780857): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.32307693591484665, -0.037692307852781735): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.32307693591484665, -0.0341025642477549): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.32307693591484665, -0.030512820642728075): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.32307693591484665, -0.02692307703770124): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.32307693591484665, -0.023333333432674408): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.32307693591484665, -0.01974358982764758): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.32307693591484665, -0.016153846222620748): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.32307693591484665, -0.012564102617593914): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.32307693591484665, -0.00897435901256708): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.32307693591484665, -0.005384615407540247): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.32307693591484665, -0.0017948718025134203): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.32307693591484665, 0.0017948718025134203): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.32307693591484665, 0.005384615407540247): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.32307693591484665, 0.008974359012567074): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.32307693591484665, 0.012564102617593914): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.32307693591484665, 0.01615384622262074): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.32307693591484665, 0.019743589827647567): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.32307693591484665, 0.023333333432674408): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.32307693591484665, 0.026923077037701235): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.32307693591484665, 0.03051282064272806): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.32307693591484665, 0.0341025642477549): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.32307693591484665, 0.03769230785278173): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.32307693591484665, 0.04128205145780857): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.32307693591484665, 0.044871795062835396): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.32307693591484665, 0.04846153866786222): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.32307693591484665, 0.05205128227288906): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.32307693591484665, 0.05564102587791589): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.32307693591484665, 0.05923076948294273): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.32307693591484665, 0.06282051308796954): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.32307693591484665, 0.06641025669299638): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.32307693591484665, 0.07000000029802322): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.27692308792701137, -0.07000000029802322): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.27692308792701137, -0.0664102566929964): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.27692308792701137, -0.06282051308796956): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.27692308792701137, -0.05923076948294273): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.27692308792701137, -0.055641025877915896): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.27692308792701137, -0.05205128227288906): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.27692308792701137, -0.048461538667862236): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.27692308792701137, -0.0448717950628354): best=0 (0.999) | probs: 0:0.999, 1:0.000, 2:0.000
state=(-0.27692308792701137, -0.04128205145780857): best=0 (0.999) | probs: 0:0.999, 1:0.000, 2:0.000
state=(-0.27692308792701137, -0.037692307852781735): best=0 (0.999) | probs: 0:0.999, 1:0.000, 2:0.000
state=(-0.27692308792701137, -0.0341025642477549): best=0 (0.999) | probs: 0:0.999, 1:0.000, 2:0.000
state=(-0.27692308792701137, -0.030512820642728075): best=0 (0.999) | probs: 0:0.999, 1:0.000, 2:0.000
state=(-0.27692308792701137, -0.02692307703770124): best=0 (0.999) | probs: 0:0.999, 1:0.000, 2:0.000
state=(-0.27692308792701137, -0.023333333432674408): best=0 (0.999) | probs: 0:0.999, 1:0.000, 2:0.000
state=(-0.27692308792701137, -0.01974358982764758): best=0 (0.999) | probs: 0:0.999, 1:0.000, 2:0.000
state=(-0.27692308792701137, -0.016153846222620748): best=0 (0.999) | probs: 0:0.999, 1:0.000, 2:0.000
state=(-0.27692308792701137, -0.012564102617593914): best=0 (0.999) | probs: 0:0.999, 1:0.000, 2:0.000
state=(-0.27692308792701137, -0.00897435901256708): best=0 (0.999) | probs: 0:0.999, 1:0.000, 2:0.000
state=(-0.27692308792701137, -0.005384615407540247): best=0 (0.999) | probs: 0:0.999, 1:0.000, 2:0.000
state=(-0.27692308792701137, -0.0017948718025134203): best=0 (0.999) | probs: 0:0.999, 1:0.000, 2:0.000
state=(-0.27692308792701137, 0.0017948718025134203): best=0 (0.999) | probs: 0:0.999, 1:0.000, 2:0.000
state=(-0.27692308792701137, 0.005384615407540247): best=0 (0.999) | probs: 0:0.999, 1:0.000, 2:0.000
state=(-0.27692308792701137, 0.008974359012567074): best=0 (0.999) | probs: 0:0.999, 1:0.000, 2:0.000
state=(-0.27692308792701137, 0.012564102617593914): best=0 (0.999) | probs: 0:0.999, 1:0.000, 2:0.000
state=(-0.27692308792701137, 0.01615384622262074): best=0 (0.999) | probs: 0:0.999, 1:0.000, 2:0.000
state=(-0.27692308792701137, 0.019743589827647567): best=0 (0.999) | probs: 0:0.999, 1:0.000, 2:0.000
state=(-0.27692308792701137, 0.023333333432674408): best=0 (0.999) | probs: 0:0.999, 1:0.000, 2:0.000
state=(-0.27692308792701137, 0.026923077037701235): best=0 (0.999) | probs: 0:0.999, 1:0.000, 2:0.000
state=(-0.27692308792701137, 0.03051282064272806): best=0 (0.999) | probs: 0:0.999, 1:0.000, 2:0.000
state=(-0.27692308792701137, 0.0341025642477549): best=0 (0.999) | probs: 0:0.999, 1:0.000, 2:0.000
state=(-0.27692308792701137, 0.03769230785278173): best=0 (0.999) | probs: 0:0.999, 1:0.000, 2:0.000
state=(-0.27692308792701137, 0.04128205145780857): best=0 (0.999) | probs: 0:0.999, 1:0.000, 2:0.000
state=(-0.27692308792701137, 0.044871795062835396): best=0 (0.999) | probs: 0:0.999, 1:0.000, 2:0.000
state=(-0.27692308792701137, 0.04846153866786222): best=0 (0.999) | probs: 0:0.999, 1:0.000, 2:0.000
state=(-0.27692308792701137, 0.05205128227288906): best=0 (0.999) | probs: 0:0.999, 1:0.000, 2:0.000
state=(-0.27692308792701137, 0.05564102587791589): best=0 (0.999) | probs: 0:0.999, 1:0.000, 2:0.000
state=(-0.27692308792701137, 0.05923076948294273): best=0 (0.999) | probs: 0:0.999, 1:0.000, 2:0.000
state=(-0.27692308792701137, 0.06282051308796954): best=0 (0.999) | probs: 0:0.999, 1:0.000, 2:0.000
state=(-0.27692308792701137, 0.06641025669299638): best=0 (0.999) | probs: 0:0.999, 1:0.000, 2:0.000
state=(-0.27692308792701137, 0.07000000029802322): best=0 (0.999) | probs: 0:0.999, 1:0.000, 2:0.000
state=(-0.2307692399391762, -0.07000000029802322): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.2307692399391762, -0.0664102566929964): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.2307692399391762, -0.06282051308796956): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.2307692399391762, -0.05923076948294273): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.2307692399391762, -0.055641025877915896): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.2307692399391762, -0.05205128227288906): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.2307692399391762, -0.048461538667862236): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.2307692399391762, -0.0448717950628354): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.2307692399391762, -0.04128205145780857): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.2307692399391762, -0.037692307852781735): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.2307692399391762, -0.0341025642477549): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.2307692399391762, -0.030512820642728075): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.2307692399391762, -0.02692307703770124): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.2307692399391762, -0.023333333432674408): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.2307692399391762, -0.01974358982764758): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.2307692399391762, -0.016153846222620748): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.2307692399391762, -0.012564102617593914): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.2307692399391762, -0.00897435901256708): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.2307692399391762, -0.005384615407540247): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.2307692399391762, -0.0017948718025134203): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.2307692399391762, 0.0017948718025134203): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.2307692399391762, 0.005384615407540247): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.2307692399391762, 0.008974359012567074): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.2307692399391762, 0.012564102617593914): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.2307692399391762, 0.01615384622262074): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.2307692399391762, 0.019743589827647567): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.2307692399391762, 0.023333333432674408): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.2307692399391762, 0.026923077037701235): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.2307692399391762, 0.03051282064272806): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.2307692399391762, 0.0341025642477549): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.2307692399391762, 0.03769230785278173): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.2307692399391762, 0.04128205145780857): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.2307692399391762, 0.044871795062835396): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.2307692399391762, 0.04846153866786222): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.2307692399391762, 0.05205128227288906): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.2307692399391762, 0.05564102587791589): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.2307692399391762, 0.05923076948294273): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.2307692399391762, 0.06282051308796954): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.2307692399391762, 0.06641025669299638): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.2307692399391762, 0.07000000029802322): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.000
state=(-0.1846153919513409, -0.07000000029802322): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.001
state=(-0.1846153919513409, -0.0664102566929964): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.001
state=(-0.1846153919513409, -0.06282051308796956): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.001
state=(-0.1846153919513409, -0.05923076948294273): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.001
state=(-0.1846153919513409, -0.055641025877915896): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.001
state=(-0.1846153919513409, -0.05205128227288906): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.001
state=(-0.1846153919513409, -0.048461538667862236): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.001
state=(-0.1846153919513409, -0.0448717950628354): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.001
state=(-0.1846153919513409, -0.04128205145780857): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.001
state=(-0.1846153919513409, -0.037692307852781735): best=0 (0.999) | probs: 0:0.999, 1:0.001, 2:0.001
state=(-0.1846153919513409, -0.0341025642477549): best=0 (0.998) | probs: 0:0.998, 1:0.001, 2:0.001
state=(-0.1846153919513409, -0.030512820642728075): best=0 (0.998) | probs: 0:0.998, 1:0.001, 2:0.001
state=(-0.1846153919513409, -0.02692307703770124): best=0 (0.998) | probs: 0:0.998, 1:0.001, 2:0.001
state=(-0.1846153919513409, -0.023333333432674408): best=0 (0.998) | probs: 0:0.998, 1:0.001, 2:0.001
state=(-0.1846153919513409, -0.01974358982764758): best=0 (0.998) | probs: 0:0.998, 1:0.001, 2:0.001
state=(-0.1846153919513409, -0.016153846222620748): best=0 (0.998) | probs: 0:0.998, 1:0.001, 2:0.001
state=(-0.1846153919513409, -0.012564102617593914): best=0 (0.998) | probs: 0:0.998, 1:0.001, 2:0.001
state=(-0.1846153919513409, -0.00897435901256708): best=0 (0.998) | probs: 0:0.998, 1:0.001, 2:0.001
state=(-0.1846153919513409, -0.005384615407540247): best=0 (0.998) | probs: 0:0.998, 1:0.001, 2:0.001
state=(-0.1846153919513409, -0.0017948718025134203): best=0 (0.998) | probs: 0:0.998, 1:0.001, 2:0.001
state=(-0.1846153919513409, 0.0017948718025134203): best=0 (0.998) | probs: 0:0.998, 1:0.001, 2:0.001
state=(-0.1846153919513409, 0.005384615407540247): best=0 (0.998) | probs: 0:0.998, 1:0.001, 2:0.001
state=(-0.1846153919513409, 0.008974359012567074): best=0 (0.998) | probs: 0:0.998, 1:0.001, 2:0.001
state=(-0.1846153919513409, 0.012564102617593914): best=0 (0.998) | probs: 0:0.998, 1:0.001, 2:0.001
state=(-0.1846153919513409, 0.01615384622262074): best=0 (0.998) | probs: 0:0.998, 1:0.001, 2:0.001
state=(-0.1846153919513409, 0.019743589827647567): best=0 (0.998) | probs: 0:0.998, 1:0.001, 2:0.001
state=(-0.1846153919513409, 0.023333333432674408): best=0 (0.998) | probs: 0:0.998, 1:0.001, 2:0.001
state=(-0.1846153919513409, 0.026923077037701235): best=0 (0.998) | probs: 0:0.998, 1:0.001, 2:0.001
state=(-0.1846153919513409, 0.03051282064272806): best=0 (0.998) | probs: 0:0.998, 1:0.001, 2:0.001
state=(-0.1846153919513409, 0.0341025642477549): best=0 (0.998) | probs: 0:0.998, 1:0.001, 2:0.001
state=(-0.1846153919513409, 0.03769230785278173): best=0 (0.998) | probs: 0:0.998, 1:0.001, 2:0.001
state=(-0.1846153919513409, 0.04128205145780857): best=0 (0.998) | probs: 0:0.998, 1:0.001, 2:0.001
state=(-0.1846153919513409, 0.044871795062835396): best=0 (0.998) | probs: 0:0.998, 1:0.001, 2:0.001
state=(-0.1846153919513409, 0.04846153866786222): best=0 (0.998) | probs: 0:0.998, 1:0.001, 2:0.001
state=(-0.1846153919513409, 0.05205128227288906): best=0 (0.998) | probs: 0:0.998, 1:0.001, 2:0.001
state=(-0.1846153919513409, 0.05564102587791589): best=0 (0.998) | probs: 0:0.998, 1:0.001, 2:0.001
state=(-0.1846153919513409, 0.05923076948294273): best=0 (0.998) | probs: 0:0.998, 1:0.001, 2:0.001
state=(-0.1846153919513409, 0.06282051308796954): best=0 (0.998) | probs: 0:0.998, 1:0.001, 2:0.001
state=(-0.1846153919513409, 0.06641025669299638): best=0 (0.998) | probs: 0:0.998, 1:0.001, 2:0.001
state=(-0.1846153919513409, 0.07000000029802322): best=0 (0.998) | probs: 0:0.998, 1:0.001, 2:0.001
state=(-0.13846154396350574, -0.07000000029802322): best=0 (0.997) | probs: 0:0.997, 1:0.002, 2:0.001
state=(-0.13846154396350574, -0.0664102566929964): best=0 (0.997) | probs: 0:0.997, 1:0.002, 2:0.001
state=(-0.13846154396350574, -0.06282051308796956): best=0 (0.997) | probs: 0:0.997, 1:0.002, 2:0.001
state=(-0.13846154396350574, -0.05923076948294273): best=0 (0.997) | probs: 0:0.997, 1:0.002, 2:0.001
state=(-0.13846154396350574, -0.055641025877915896): best=0 (0.997) | probs: 0:0.997, 1:0.002, 2:0.001
state=(-0.13846154396350574, -0.05205128227288906): best=0 (0.997) | probs: 0:0.997, 1:0.002, 2:0.001
state=(-0.13846154396350574, -0.048461538667862236): best=0 (0.997) | probs: 0:0.997, 1:0.002, 2:0.001
state=(-0.13846154396350574, -0.0448717950628354): best=0 (0.997) | probs: 0:0.997, 1:0.002, 2:0.001
state=(-0.13846154396350574, -0.04128205145780857): best=0 (0.997) | probs: 0:0.997, 1:0.002, 2:0.001
state=(-0.13846154396350574, -0.037692307852781735): best=0 (0.997) | probs: 0:0.997, 1:0.002, 2:0.001
state=(-0.13846154396350574, -0.0341025642477549): best=0 (0.997) | probs: 0:0.997, 1:0.002, 2:0.001
state=(-0.13846154396350574, -0.030512820642728075): best=0 (0.997) | probs: 0:0.997, 1:0.002, 2:0.001
state=(-0.13846154396350574, -0.02692307703770124): best=0 (0.997) | probs: 0:0.997, 1:0.002, 2:0.001
state=(-0.13846154396350574, -0.023333333432674408): best=0 (0.997) | probs: 0:0.997, 1:0.002, 2:0.001
state=(-0.13846154396350574, -0.01974358982764758): best=0 (0.997) | probs: 0:0.997, 1:0.002, 2:0.001
state=(-0.13846154396350574, -0.016153846222620748): best=0 (0.997) | probs: 0:0.997, 1:0.002, 2:0.001
state=(-0.13846154396350574, -0.012564102617593914): best=0 (0.997) | probs: 0:0.997, 1:0.002, 2:0.001
state=(-0.13846154396350574, -0.00897435901256708): best=0 (0.997) | probs: 0:0.997, 1:0.002, 2:0.001
state=(-0.13846154396350574, -0.005384615407540247): best=0 (0.997) | probs: 0:0.997, 1:0.002, 2:0.001
state=(-0.13846154396350574, -0.0017948718025134203): best=0 (0.997) | probs: 0:0.997, 1:0.002, 2:0.001
state=(-0.13846154396350574, 0.0017948718025134203): best=0 (0.997) | probs: 0:0.997, 1:0.002, 2:0.001
state=(-0.13846154396350574, 0.005384615407540247): best=0 (0.997) | probs: 0:0.997, 1:0.002, 2:0.001
state=(-0.13846154396350574, 0.008974359012567074): best=0 (0.997) | probs: 0:0.997, 1:0.002, 2:0.001
state=(-0.13846154396350574, 0.012564102617593914): best=0 (0.997) | probs: 0:0.997, 1:0.002, 2:0.001
state=(-0.13846154396350574, 0.01615384622262074): best=0 (0.997) | probs: 0:0.997, 1:0.002, 2:0.001
state=(-0.13846154396350574, 0.019743589827647567): best=0 (0.997) | probs: 0:0.997, 1:0.002, 2:0.001
state=(-0.13846154396350574, 0.023333333432674408): best=0 (0.997) | probs: 0:0.997, 1:0.002, 2:0.001
state=(-0.13846154396350574, 0.026923077037701235): best=0 (0.997) | probs: 0:0.997, 1:0.002, 2:0.001
state=(-0.13846154396350574, 0.03051282064272806): best=0 (0.997) | probs: 0:0.997, 1:0.002, 2:0.001
state=(-0.13846154396350574, 0.0341025642477549): best=0 (0.997) | probs: 0:0.997, 1:0.002, 2:0.001
state=(-0.13846154396350574, 0.03769230785278173): best=0 (0.997) | probs: 0:0.997, 1:0.002, 2:0.001
state=(-0.13846154396350574, 0.04128205145780857): best=0 (0.997) | probs: 0:0.997, 1:0.002, 2:0.001
state=(-0.13846154396350574, 0.044871795062835396): best=0 (0.997) | probs: 0:0.997, 1:0.002, 2:0.001
state=(-0.13846154396350574, 0.04846153866786222): best=0 (0.997) | probs: 0:0.997, 1:0.002, 2:0.001
state=(-0.13846154396350574, 0.05205128227288906): best=0 (0.997) | probs: 0:0.997, 1:0.002, 2:0.001
state=(-0.13846154396350574, 0.05564102587791589): best=0 (0.997) | probs: 0:0.997, 1:0.002, 2:0.001
state=(-0.13846154396350574, 0.05923076948294273): best=0 (0.997) | probs: 0:0.997, 1:0.002, 2:0.001
state=(-0.13846154396350574, 0.06282051308796954): best=0 (0.997) | probs: 0:0.997, 1:0.002, 2:0.001
state=(-0.13846154396350574, 0.06641025669299638): best=0 (0.997) | probs: 0:0.997, 1:0.002, 2:0.001
state=(-0.13846154396350574, 0.07000000029802322): best=0 (0.997) | probs: 0:0.997, 1:0.002, 2:0.001
state=(-0.09230769597567057, -0.07000000029802322): best=0 (0.995) | probs: 0:0.995, 1:0.003, 2:0.002
state=(-0.09230769597567057, -0.0664102566929964): best=0 (0.995) | probs: 0:0.995, 1:0.003, 2:0.002
state=(-0.09230769597567057, -0.06282051308796956): best=0 (0.995) | probs: 0:0.995, 1:0.003, 2:0.002
state=(-0.09230769597567057, -0.05923076948294273): best=0 (0.995) | probs: 0:0.995, 1:0.003, 2:0.002
state=(-0.09230769597567057, -0.055641025877915896): best=0 (0.995) | probs: 0:0.995, 1:0.003, 2:0.002
state=(-0.09230769597567057, -0.05205128227288906): best=0 (0.995) | probs: 0:0.995, 1:0.003, 2:0.002
state=(-0.09230769597567057, -0.048461538667862236): best=0 (0.995) | probs: 0:0.995, 1:0.003, 2:0.002
state=(-0.09230769597567057, -0.0448717950628354): best=0 (0.995) | probs: 0:0.995, 1:0.003, 2:0.002
state=(-0.09230769597567057, -0.04128205145780857): best=0 (0.995) | probs: 0:0.995, 1:0.003, 2:0.002
state=(-0.09230769597567057, -0.037692307852781735): best=0 (0.995) | probs: 0:0.995, 1:0.003, 2:0.002
state=(-0.09230769597567057, -0.0341025642477549): best=0 (0.995) | probs: 0:0.995, 1:0.003, 2:0.002
state=(-0.09230769597567057, -0.030512820642728075): best=0 (0.995) | probs: 0:0.995, 1:0.003, 2:0.002
state=(-0.09230769597567057, -0.02692307703770124): best=0 (0.995) | probs: 0:0.995, 1:0.003, 2:0.002
state=(-0.09230769597567057, -0.023333333432674408): best=0 (0.995) | probs: 0:0.995, 1:0.003, 2:0.002
state=(-0.09230769597567057, -0.01974358982764758): best=0 (0.995) | probs: 0:0.995, 1:0.003, 2:0.002
state=(-0.09230769597567057, -0.016153846222620748): best=0 (0.995) | probs: 0:0.995, 1:0.003, 2:0.002
state=(-0.09230769597567057, -0.012564102617593914): best=0 (0.995) | probs: 0:0.995, 1:0.004, 2:0.002
state=(-0.09230769597567057, -0.00897435901256708): best=0 (0.994) | probs: 0:0.994, 1:0.004, 2:0.002
